fund_symbol,fund_category,investment_type,size_type,incept_year,vol_3mth,net_assets,pb_ratio,pe_ratio,fund_return,alpha_3yr,beta_3yr,ann_ret_3yr,std_3yr,sharpe_3yr,treynor_3yr
DUDE,"Tactical Allocation",Growth,Large,2020,16858,173663936,3.32,19.56,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DURA,"Large Value",Value,Large,2018,7345,48679928,3.66,22.05,0.09,NULL,NULL,NULL,NULL,NULL,NULL
DUSA,"Large Blend",Blend,Large,2017,13401,388990944,1.97,15.26,0.2,-5,1.16,1.39,22.39,0.69,12.04
DUSL,"Trading--Leveraged Equity",Blend,Large,2017,61035,87166432,5.16,27.73,0.5,-20.01,3.6,3.74,73.42,0.59,3.94
DVLU,"Mid-Cap Value",Value,Medium,2018,9961,30545368,1.36,11.61,0.31,NULL,NULL,NULL,NULL,NULL,NULL
DVOL,"Large Blend",Blend,Large,2018,14804,120965048,6.48,31.63,0.11,NULL,NULL,NULL,NULL,NULL,NULL
DVYA,"Pacific/Asia ex-Japan Stk",Value,Large,2012,2925,44530568,0.75,11.71,0.09,-7.52,1.15,0.37,22.72,0.14,0.42
DVYE,"Diversified Emerging Mkts",Value,Medium,2012,85700,880994752,0.91,7.57,0.09,-2.94,1.06,0.68,20.23,0.34,4.78
DWAS,"Small Growth",Blend,Small,2012,65398,630966656,3.22,12.93,0.19,-1.89,1.21,1.73,26.47,0.74,14.42
DWAT,"Tactical Allocation",Blend,Medium,2014,370,3981666,2.64,19.6,0.09,-7.22,1.31,0.6,15.98,0.38,3.74
DWCR,"Foreign Large Blend",Blend,Large,2017,553,15985421,2.76,21.81,0.11,0.16,1.06,0.94,19.44,0.51,8.06
DWMC,"Small Growth",Blend,Small,2018,2038,8899219,2.73,13.13,0.34,NULL,NULL,NULL,NULL,NULL,NULL
DWPP,"Large Blend",Blend,Large,2012,750,11298657,4.67,27.02,0.15,-10.31,0.87,0.53,18.26,0.28,4.08
DWX,"Foreign Large Value",Value,Large,2008,46720,653997440,1.46,15.37,0.1,-2.78,0.85,0.53,15.75,0.32,4.68
DXGE,"Miscellaneous Region",Value,Large,2013,1077,31789574,1.77,16.84,0.16,-0.89,1.13,0.9,22.07,0.43,6.67
DXJS,"Japan Stock",Value,Medium,2013,15508,30499168,0.81,12.66,0.1,-4.03,0.7,0.31,18.44,0.13,1.09
DYHG,"Long-Short Equity",Blend,Large,2020,227,7148376,4.43,26.5,0.1,NULL,NULL,NULL,NULL,NULL,NULL
EAPR,"Diversified Emerging Mkts",Blend,Large,2021,5022,27526458,2.09,16.93,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EASG,"Foreign Large Blend",Blend,Large,2018,2790,18418016,2.06,22.26,0.07,NULL,NULL,NULL,NULL,NULL,NULL
EATZ,"Consumer Cyclical",Blend,Small,2021,3351,5988285,4.22,36.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EBLU,"Natural Resources",Blend,Medium,2017,6837,46659336,3.75,32.44,0.12,4.52,0.9,1.53,17.44,0.98,18.88
ECLN,Utilities,Value,Medium,2019,4000,12720479,2.45,21.17,0.04,NULL,NULL,NULL,NULL,NULL,NULL
ECON,"Diversified Emerging Mkts",Blend,Large,2010,18354,176777744,4.05,23.93,0,-1.39,0.78,0.6,16.28,0.36,6.08
ECOW,"Diversified Emerging Mkts",Value,Large,2019,2643,9258468,1.39,9.33,0.13,NULL,NULL,NULL,NULL,NULL,NULL
ECOZ,"Large Growth",Growth,Large,2020,500,9679941,6.71,30.78,0.1,NULL,NULL,NULL,NULL,NULL,NULL
EDC,"Trading--Leveraged Equity",Blend,Large,2008,82758,244925472,2.09,16.93,0.15,-19.49,2.5,2.16,59.03,0.42,2.19
EDIV,"Diversified Emerging Mkts",Value,Large,2011,17759,303836704,1.24,10.44,0.1,-5.32,0.98,0.42,19.15,0.2,2.01
EDOC,Health,Growth,Medium,2020,191059,747157632,5.05,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
EDOG,"Diversified Emerging Mkts",Value,Large,2014,4564,25606520,1.28,12.35,0.1,-0.66,1.14,0.93,21.75,0.46,6.98
EDOW,"Large Value",Value,Large,2017,25774,107008832,4.31,22.67,0.14,-2.52,0.93,1.26,18.01,0.77,14.21
EELV,"Diversified Emerging Mkts",Value,Large,2012,50314,337798848,1.24,12.62,0.1,-3.48,0.83,0.46,15.8,0.27,3.69
EEMA,"Pacific/Asia ex-Japan Stk",Blend,Large,2012,52340,994329472,1.95,16.56,0.06,3.4,0.89,1.08,17.89,0.65,12.04
EEMD,"Diversified Emerging Mkts",Value,Medium,2017,1290,7474248,0.79,7.37,0.09,-4.74,1.09,0.55,21.24,0.26,3
EEMO,"Diversified Emerging Mkts",Growth,Large,2012,953,8228974,4.3,24.67,0.08,0.15,1.04,0.92,22.52,0.43,7.21
EEMV,"Diversified Emerging Mkts",Blend,Large,2011,170550,3854954496,2.14,18.3,0.06,-1.2,0.73,0.57,13.79,0.41,6.61
EEMX,"Diversified Emerging Mkts",Blend,Large,2016,11417,188373760,2.15,17.4,0.07,2.2,0.92,1,18.15,0.59,10.47
EES,"Small Blend",Value,Small,2007,37770,619247232,1.82,12.19,0.27,-12.94,1.47,1.2,30.17,0.43,6.02
EFAD,"Foreign Large Growth",Blend,Large,2014,6532,138085568,2.89,24.53,0.06,-0.16,0.89,0.78,16.39,0.5,7.98
EFAS,"Foreign Large Value",Value,Large,2016,7601,14262897,1.1,12.43,0.12,-7.07,1.32,0.53,24.83,0.21,1.63
EFAV,"Foreign Large Blend",Blend,Large,2011,532191,8636889088,2.13,22.13,0.05,-1.69,0.64,0.46,12.21,0.35,5.7
EFAX,"Foreign Large Blend",Blend,Large,2016,8445,233323344,1.92,20.44,0.09,-0.07,0.98,0.85,17.42,0.52,8.08
EFIV,"Large Blend",Blend,Large,2020,28896,235699680,4.67,27.55,0.16,NULL,NULL,NULL,NULL,NULL,NULL
EGIS,"Large Blend",Blend,Large,2020,5109,16199240,3.57,22.45,0.2,NULL,NULL,NULL,NULL,NULL,NULL
EGPT,"Miscellaneous Region",Value,Small,2010,6387,21431276,1.09,8.21,-0,-16.87,0.94,-0.57,24.47,-0.33,-11.41
EINC,"Energy Limited Partnership",Value,Medium,2012,5458,26055116,2.09,18.11,0.39,-16.4,1.8,0.84,38.41,0.23,0.53
EJAN,"Diversified Emerging Mkts",Blend,Large,2019,22522,123115976,2.09,16.93,0.03,NULL,NULL,NULL,NULL,NULL,NULL
EKAR,Technology,Blend,Large,2018,872,11268042,2.05,21.87,0.11,2.7,1.35,1.91,26.45,0.82,14.87
EMDV,"Diversified Emerging Mkts",Blend,Large,2016,996,22159812,1.85,15.4,0.06,-3.05,0.99,0.62,19.24,0.32,4.46
EMFM,"Diversified Emerging Mkts",Blend,Large,2013,2001,20654934,1.9,18.28,0.06,-7.62,0.97,0.22,18.43,0.08,-0.33
EMIF,"Diversified Emerging Mkts",Value,Large,2009,3332,15940076,0.91,12.32,0.03,-10.72,1.13,0.09,23.06,-0.01,-2.57
EMLP,"Energy Limited Partnership",Value,Medium,2012,195035,2059332096,2.26,17.75,0.19,-5.94,0.93,0.69,21.17,0.33,5.29
EMSG,"Diversified Emerging Mkts",Blend,Large,2018,4422,17583894,2.52,19.81,0.1,NULL,NULL,NULL,NULL,NULL,NULL
EMXC,"Diversified Emerging Mkts",Blend,Large,2017,400225,835443904,1.98,17.83,0.1,1.28,1.14,1.09,21.28,0.56,8.92
ENFR,"Energy Limited Partnership",Value,Medium,2013,17617,70241840,2.14,17.46,0.42,-15.21,1.76,0.89,37.8,0.25,1
ENZL,"Miscellaneous Region",Blend,Medium,2010,12303,158816704,2.4,21.85,-0.1,2.92,0.91,1.05,20.04,0.57,10.92
EPI,"India Equity",Blend,Large,2008,535267,852500672,2.35,17.95,0.16,3.37,1.1,1.23,26.96,0.5,9.48
EPS,"Large Blend",Blend,Large,2007,29953,579606272,3.74,21.17,0.16,-1.91,1.04,1.47,19.42,0.84,15.22
EQAL,"Mid-Cap Blend",Blend,Medium,2014,53314,665635840,2.84,22.74,0.18,-6.04,1.22,1.4,23.45,0.66,11.29
EQL,"Large Blend",Blend,Large,2009,3358,210116528,3.45,26.06,0.17,-2.33,0.98,1.35,18.34,0.81,14.65
EQRR,"Large Value",Value,Large,2017,4180,7848376,2.3,20.06,0.3,-21.42,1.65,0.75,33.84,0.23,1.17
EQWL,"Large Blend",Value,Large,2006,4596,97432920,3.33,24.23,0.19,-1.24,1.01,1.49,19.09,0.87,15.95
ERM,"Large Value",Value,Large,2017,1154,11289620,2.96,23.21,0.21,-9.9,0.94,0.67,19.63,0.34,5.33
ERSX,"Foreign Small/Mid Growth",Growth,Medium,2018,2598,42366720,6.5,32.36,0.04,NULL,NULL,NULL,NULL,NULL,NULL
ERTH,"Miscellaneous Sector",Growth,Medium,2006,23635,427715744,2.61,25.53,0.06,5.74,1.27,2.06,24.61,0.95,18.04
ERX,"Trading--Leveraged Equity",Value,Large,2008,3451790,655720384,1.89,NULL,0.99,-94.23,4.48,-1.14,97.88,-0.15,-13.04
ESG,"Large Blend",Blend,Large,2016,6035,173305744,4.74,26.26,0.16,0.8,1.01,1.66,18.74,0.99,18.37
ESGA,"Large Blend",Blend,Large,2020,6543,149207552,5.44,29.04,0.15,NULL,NULL,NULL,NULL,NULL,NULL
ESGY,"Large Blend",Growth,Large,2021,466,5204632,11.32,37.84,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ESML,"Small Blend",Blend,Small,2018,114238,1000216384,2.75,20.15,0.19,-5.76,1.26,1.48,25,0.66,11.44
ESPO,Technology,Growth,Large,2018,80030,820848128,6.3,33.32,0.04,NULL,NULL,NULL,NULL,NULL,NULL
ETHO,"Mid-Cap Growth",Blend,Medium,2015,8483,169381440,3.81,24.63,0.14,0.77,1.08,1.76,20.64,0.96,18.08
EUCG,"World Allocation",Value,Large,2020,8193,48986396,2.3,18.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EUDG,"Europe Stock",Blend,Large,2014,9719,55267944,2.79,19.31,0.13,3.01,0.92,1.07,17.02,0.68,11.71
EUFN,Financial,Value,Large,2010,1127112,1563914624,0.81,12.03,0.14,-14.48,1.39,0.52,29.24,0.17,0.61
EURL,"Trading--Leveraged Equity",Blend,Large,2014,30617,57629008,1.93,20.45,0.39,-27.68,2.93,2.12,62.11,0.39,1.16
EURZ,"Europe Stock",Blend,Large,2015,251,2698631,1.81,22.03,0.13,-1.92,1.2,0.88,21.97,0.42,6.01
EUSC,"Europe Stock",Value,Medium,2015,2645,38419268,1.58,16.91,0.16,-1.61,1.13,0.84,21.22,0.42,6.11
EVX,Industrials,Growth,Medium,2006,2866,62135240,4.25,36.4,0.18,0.41,1.16,1.49,22.45,0.74,13.15
EWCO,Communications,Value,Large,2018,9767,48281792,2.82,21.33,0.25,NULL,NULL,NULL,NULL,NULL,NULL
EWEB,"Diversified Emerging Mkts",Growth,Large,2020,2338,7031822,4.5,28.01,-0.03,NULL,NULL,NULL,NULL,NULL,NULL
EWJE,"Japan Stock",Blend,Large,2019,1246,7783983,1.36,19.22,0.02,NULL,NULL,NULL,NULL,NULL,NULL
EWJV,"Japan Stock",Value,Large,2019,34529,41539876,0.96,13.13,0.08,NULL,NULL,NULL,NULL,NULL,NULL
EWMC,"Mid-Cap Blend",Blend,Small,2010,3456,136157712,2.45,20.47,0.2,-9.03,1.34,1.32,26.36,0.55,8.87
EWRE,"Real Estate",Blend,Medium,2015,29959,60402104,3.15,38.7,0.27,0.66,0.95,1.27,20.49,0.68,13.37
EWSC,"Small Blend",Value,Small,2010,6912,63666732,1.95,16.34,0.31,-9.12,1.42,1.44,29.51,0.54,8.77
EWX,"Diversified Emerging Mkts",Blend,Medium,2008,29991,654840320,1.58,15.05,0.2,1.89,1.12,1.13,21.53,0.57,9.43
EWZS,"Latin America Stock",Growth,Medium,2010,75325,129347912,1.93,13.81,0.2,11.59,1.65,2.35,42.39,0.64,11.05
EYLD,"Diversified Emerging Mkts",Value,Medium,2016,14900,66456132,1.43,9.42,0.15,1.18,1.12,1.07,21.4,0.54,8.76
EZM,"Mid-Cap Blend",Value,Small,2007,43562,733165952,2.2,15.14,0.21,-11.08,1.37,1.2,27.47,0.48,7.16
FAB,"Mid-Cap Value",Value,Medium,2007,17635,163311968,1.78,14.06,0.22,-12.28,1.41,1.16,28.37,0.44,6.4
FAD,"Mid-Cap Growth",Growth,Medium,2007,6775,221120992,6.17,27.65,0.15,-0.94,1.11,1.66,22.21,0.84,15.99
FAIL,"Emerging-Markets Local-Currency Bond",Blend,Large,2016,3250,6855270,1.85,19.98,-0.13,-3.37,0.5,-0.01,9.12,-0.15,-3.57
FAN,"Miscellaneous Sector",Blend,Large,2008,137222,396561376,2.41,25.04,-0.07,7.34,0.96,1.84,22.01,0.94,21.21
FAS,"Trading--Leveraged Equity",Value,Large,2008,1647916,3609033728,1.64,12.67,0.8,-11.79,3.37,4.1,70.38,0.68,5.97
FBCG,"Large Growth",Growth,Large,2020,147729,372547456,7.38,33.7,0.14,NULL,NULL,NULL,NULL,NULL,NULL
FBCV,"Large Value",Value,Large,2020,26317,96075136,2.47,18.04,0.18,NULL,NULL,NULL,NULL,NULL,NULL
FBZ,"Latin America Stock",Blend,Large,2011,5477,11866694,1.88,10.17,0.13,8.32,1.44,1.92,38.9,0.56,9.94
FCA,"China Region",Value,Large,2011,1166,15806918,0.89,7.74,0.1,-0.71,0.89,0.73,20.65,0.36,6.36
FCEF,"World Allocation",Blend,Large,2016,5591,35789316,2.96,22.79,0.16,-5.72,1.72,1.08,20.17,0.58,5.89
FCG,"Equity Energy",Value,Medium,2007,1695687,300582560,1.74,NULL,0.87,-30.27,2.96,1.05,70.73,0.16,-3.3
FCOM,Communications,Growth,Large,2013,81541,855794240,4.04,27.58,0.2,9.63,1,2.07,19.74,1.2,24.36
FCPI,"Large Blend",Blend,Large,2019,45009,34568276,3.78,20.79,0.22,NULL,NULL,NULL,NULL,NULL,NULL
FDD,"Europe Stock",Value,Large,2007,93764,277766528,1.09,10.61,0.14,-2.9,1.27,0.85,24.7,0.36,4.85
FDG,"Large Growth",Growth,Large,2020,18350,239323776,10.01,38.67,0.09,NULL,NULL,NULL,NULL,NULL,NULL
FDIS,"Consumer Cyclical",Growth,Large,2013,98740,1568050048,7.19,29.64,0.14,6.16,1.29,2.12,24.64,0.98,18.49
FDIV,"Allocation--30% to 50% Equity",Value,Medium,2014,12075,62657308,2.15,17.4,0.07,-4.76,0.95,0.51,12.04,0.4,4.46
FDLO,"Large Blend",Blend,Large,2016,66175,473633152,5.53,28.37,0.11,0.46,0.86,1.42,16.46,0.96,18.03
FDMO,"Large Growth",Growth,Large,2016,14166,141130448,4.78,25.81,0.1,-2.1,0.95,1.33,18.44,0.8,14.76
FDNI,"Foreign Large Growth",Growth,Large,2018,17541,129466912,6.22,30.84,0.04,NULL,NULL,NULL,NULL,NULL,NULL
FDRR,"Large Value",Value,Large,2016,39920,472278240,3.41,22.26,0.16,-2.76,0.99,1.34,18.85,0.78,14.12
FDT,"Foreign Large Blend",Value,Large,2011,23767,390675200,1.06,11.37,0.12,-5.82,1.16,0.52,20.87,0.24,2.44
FDTS,"Foreign Small/Mid Value",Value,Medium,2012,1996,9522136,0.98,9.3,0.13,-3.68,1.26,0.77,23.2,0.34,4.4
FDVV,"Large Value",Value,Large,2016,194564,956446464,2.67,20.39,0.19,-5.52,1.07,1.22,20.91,0.64,11.15
FEM,"Diversified Emerging Mkts",Value,Large,2011,76311,555332096,1.02,7.95,0.12,-4.02,1.2,0.7,22.64,0.32,3.93
FEMS,"Diversified Emerging Mkts",Value,Medium,2012,13309,172725136,1,7.7,0.16,0.11,1.39,1.19,26.18,0.5,7.25
FENY,"Equity Energy",Value,Large,2013,972608,999069504,1.85,NULL,0.48,-27.7,2.02,0.15,42.31,0.02,-4.03
FEP,"Europe Stock",Value,Large,2011,49914,468867744,1.25,12.46,0.14,-4.6,1.3,0.73,23.7,0.32,3.71
FEUZ,"Europe Stock",Value,Large,2014,23582,27742792,1.1,14.3,0.12,-5.22,1.27,0.65,23.09,0.28,3.17
FEVR,"Large Growth",Growth,Large,2020,19127,39202184,5.34,27.25,0.06,NULL,NULL,NULL,NULL,NULL,NULL
FEX,"Large Blend",Blend,Large,2007,27064,1188681216,3,20.03,0.17,-5.44,1.15,1.34,21.73,0.68,11.68
FFR,"Global Real Estate",Blend,Medium,2007,2088,37649376,1.53,24.08,0.16,-5.79,0.92,0.7,19.55,0.37,5.82
FFSG,"Large Blend",Blend,Large,2017,4090,46725980,2.64,22.24,0.16,-5.17,1.03,1.18,19.53,0.66,11.5
FFTG,"Tactical Allocation",Blend,Large,2017,5909,52109956,2.42,20.35,0.06,-3.74,1.15,0.76,15.16,0.52,6.12
FGD,"Foreign Large Value",Value,Medium,2007,76654,494890944,0.98,9.61,0.21,-2.63,1.25,0.86,23.64,0.38,5.11
FGM,"Miscellaneous Region",Value,Large,2012,2495,113775024,1.38,14.8,0.12,-1.72,1.29,0.96,24.17,0.42,6.01
FGRO,"Large Growth",Growth,Large,2021,38324,33891364,7.18,34.72,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FHLC,Health,Blend,Large,2013,151362,2699223808,5.11,27.82,0.11,5.74,0.76,1.47,16.53,0.99,21.54
FICS,"Foreign Large Growth",Growth,Large,2020,3882,3431355,5.07,20.3,0.13,NULL,NULL,NULL,NULL,NULL,NULL
FID,"Foreign Large Value",Value,Large,2013,7016,43324756,1.2,13.92,0.13,-3.69,1.06,0.62,19.85,0.31,4.05
FIDI,"Foreign Large Value",Value,Large,2018,13740,80352944,1.18,15.66,0.15,-7.62,1.12,0.34,21.2,0.13,0.54
FIDU,Industrials,Blend,Large,2013,77798,873108160,4.67,28.28,0.16,-1.57,1.26,1.44,23.89,0.67,11.32
FINX,Technology,Growth,Large,2016,215267,1313370368,6.41,40.92,0.02,4.43,1.33,2.02,27.84,0.83,16.08
FITE,Technology,Growth,Medium,2017,3308,27429224,3.89,30.23,0.13,2.16,1.12,1.59,22.28,0.8,15
FIVA,"Foreign Large Value",Value,Large,2018,7348,31373592,1.38,13.38,0.13,-4.16,1.12,0.62,20.37,0.31,3.89
FIVG,Communications,Blend,Large,2019,161329,1281323904,3.76,29.59,0.14,NULL,NULL,NULL,NULL,NULL,NULL
FIW,"Natural Resources",Growth,Medium,2007,88800,1039176832,4.25,33.6,0.16,5.91,0.99,1.75,19,1.04,20.02
FJP,"Japan Stock",Blend,Large,2011,1416,38474368,1.09,14.63,0,-7.92,0.77,0.04,16.22,-0.05,-2.7
FKU,"Miscellaneous Region",Value,Medium,2012,7533,28336752,1.53,16.12,0.18,-5.44,1.5,0.81,28.09,0.3,3.01
FLHY,"High Yield Bond",Value,Small,2018,30658,358595104,13.72,21.69,0.02,4.6,0.62,0.69,9.01,0.79,11.3
FLM,Industrials,Value,Medium,2008,1293,10797301,1.39,13.85,0.1,-14.02,1.17,0.31,22.88,0.11,-0.15
FLN,"Latin America Stock",Value,Large,2011,2219,11135348,1.66,11.12,0.05,-2.59,1.49,1.04,32.93,0.34,3.65
FLQE,"Diversified Emerging Mkts",Value,Large,2016,800,25170364,1.45,11,0.08,-2.5,0.89,0.59,16.75,0.34,5.1
FLQH,"Foreign Large Blend",Blend,Large,2016,1567,16742724,2.39,18.19,0.12,1.96,0.68,0.79,13.09,0.63,11.48
FLQL,"Large Blend",Blend,Large,2017,126687,1361965952,5.58,24.31,0.14,-0.89,0.9,1.36,17.04,0.88,16.3
FLQM,"Mid-Cap Blend",Blend,Medium,2017,6420,44027132,4.58,23.84,0.16,-1.46,1.03,1.5,19.63,0.85,15.61
FLQS,"Small Blend",Blend,Small,2017,1656,19092720,2.76,18.83,0.2,-7.76,1.11,1.1,22.26,0.54,8.96
FLV,"Large Value",Value,Large,2020,17022,248814592,2.51,18.62,0.12,NULL,NULL,NULL,NULL,NULL,NULL
FLYT,"Allocation--30% to 50% Equity",Value,Large,2020,735,14530023,2.11,23.11,-0.05,NULL,NULL,NULL,NULL,NULL,NULL
FMAG,"Large Growth",Growth,Large,2021,27730,31065244,8.32,38.27,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FMAT,"Natural Resources",Blend,Medium,2013,79801,565924352,3.26,26.71,0.16,-2.68,1.19,1.27,23.14,0.6,10.22
FMIL,"Large Blend",Value,Large,2020,12898,64246880,2.42,20.42,0.21,NULL,NULL,NULL,NULL,NULL,NULL
FNCL,Financial,Value,Large,2013,203417,1762491904,1.62,12.89,0.25,-3.71,1.27,1.28,25.13,0.56,9.15
FNDA,"Small Blend",Value,Small,2013,157990,4640305152,2.14,18.01,0.27,-9.35,1.34,1.3,27.01,0.53,8.45
FNDB,"Large Value",Value,Large,2013,17201,369908320,2.56,19.68,0.22,-3.52,1.1,1.44,21.14,0.75,13.47
FNDC,"Foreign Small/Mid Value",Value,Medium,2013,177043,2675718656,1.2,15.37,0.13,-3.18,1.13,0.71,20.4,0.36,4.84
FNDE,"Diversified Emerging Mkts",Value,Large,2013,810166,4752213504,1.02,10.12,0.15,-1.12,1.09,0.86,20.39,0.44,6.66
FNDF,"Foreign Large Value",Value,Large,2013,647006,6748741120,1.18,15.74,0.15,-2.6,1.13,0.76,20.48,0.38,5.4
FNDX,"Large Value",Value,Large,2013,515004,7162112512,2.61,19.82,0.22,-3.04,1.08,1.45,20.73,0.78,13.95
FNGD,"Trading--Inverse Equity",Growth,Large,2018,8396082,43901048,7.27,29.23,-0.5,-74.91,-2.59,-9.96,70.36,-1.72,30.87
FNGS,Technology,Growth,Large,2019,24519,76346592,7.27,29.23,0.15,NULL,NULL,NULL,NULL,NULL,NULL
FNGU,"Trading--Leveraged Equity",Growth,Large,2018,2188082,1987731328,7.27,29.23,0.33,25.93,3.85,7.94,90.72,1.04,19.02
FNI,"Miscellaneous Region",Growth,Large,2007,8240,243981440,4.65,22.77,0.06,7.88,1.12,1.63,23.64,0.77,15.08
FNK,"Small Value",Value,Medium,2011,60501,148849136,1.81,13.58,0.25,-13.98,1.5,1.15,30.82,0.41,5.34
FNX,"Mid-Cap Blend",Blend,Medium,2007,29970,1034784704,2.48,16.81,0.21,-7.37,1.33,1.45,26.15,0.62,10.21
FNY,"Mid-Cap Growth",Growth,Medium,2011,22966,444588448,5.65,26.01,0.15,0.31,1.14,1.81,23.61,0.86,17.07
FPA,"Pacific/Asia ex-Japan Stk",Value,Large,2011,7220,21880288,0.93,12.25,0.16,-3.62,1.2,0.73,22.38,0.34,4.35
FPRO,"Real Estate",Blend,Medium,2021,7527,14720710,2.89,40.23,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FPXE,"Europe Stock",Growth,Large,2018,2922,6000902,3.23,29.95,0.04,NULL,NULL,NULL,NULL,NULL,NULL
FPXI,"Foreign Large Growth",Growth,Large,2014,125574,1255508224,5.55,31.29,-0,15.73,0.88,2.09,19.22,1.24,28.29
FQAL,"Large Blend",Blend,Large,2016,35764,212236656,6.35,27.61,0.16,-0.81,0.96,1.45,17.86,0.9,16.49
FRAK,"Equity Energy",Value,Medium,2012,2206,19285858,1.74,NULL,0.74,-29.72,2.74,0.83,59.43,0.15,-3.12
FREL,"Real Estate",Blend,Medium,2015,375958,1671328896,2.94,40.57,0.22,-0.14,0.85,1.09,18.5,0.64,12.54
FRI,"Real Estate",Blend,Medium,2007,74420,113474456,2.58,40.05,0.21,-2.88,0.9,0.91,19.63,0.5,9.03
FRTY,"Mid-Cap Growth",Growth,Medium,2021,25751,26604560,6.32,41.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FSTA,"Consumer Defensive",Value,Large,2013,79025,802836800,5.15,24.93,0.06,4.15,0.62,1.17,13.78,0.93,20.55
FSZ,"Miscellaneous Region",Blend,Large,2012,4703,106540200,2.32,23.84,0.11,2.3,0.96,1.04,17.92,0.62,10.63
FTA,"Large Value",Value,Large,2007,57217,1053707456,2.01,15.54,0.2,-10.92,1.28,1.08,25.35,0.46,6.95
FTAG,"Natural Resources",Value,Large,2010,790,5655042,2.11,22.14,0.14,-9.29,1.24,0.78,24.15,0.34,4.38
FTC,"Large Growth",Growth,Large,2007,44325,1191171072,8.36,32,0.14,0.29,1.02,1.64,20.24,0.91,17.48
FTCS,"Large Blend",Blend,Large,2006,275161,8125747200,7.2,23.73,0.13,-1.14,0.88,1.31,16.76,0.86,15.96
FTEC,Technology,Growth,Large,2013,243245,5952836096,10.29,34.36,0.13,12.35,1.09,2.41,21.61,1.28,26.49
FTLS,"Long-Short Equity",Blend,Large,2014,33629,374086784,3.73,24.01,0.12,-1.95,0.52,0.71,10.57,0.69,13.48
FTRI,"Natural Resources",Value,Large,2010,19338,35869808,2.1,12.98,0.26,-4.94,1.2,1.09,24.28,0.49,7.89
FTXD,"Consumer Cyclical",Value,Large,2016,7877,11895263,5.24,19.63,0.21,1.21,1,1.38,20.72,0.74,14.11
FTXG,"Consumer Defensive",Value,Medium,2016,1919,6414728,2.71,17.16,0.11,-0.4,0.74,0.93,15.79,0.63,12.45
FTXH,Health,Value,Medium,2016,5487,21984978,3.98,23.71,0.01,-5.06,0.87,0.7,18.19,0.39,6.6
FTXL,Technology,Blend,Large,2016,14180,82035400,5.63,31.2,0.15,10.83,1.28,2.5,26.75,1.07,22.49
FTXN,"Equity Energy",Value,Medium,2016,53853,69558872,1.63,NULL,0.58,-28.39,2.02,0.1,43.04,NULL,-4.41
FTXO,Financial,Value,Medium,2016,95361,238713712,1.33,13.46,0.31,-10.46,1.51,1,33.86,0.32,3.28
FTXR,Industrials,Blend,Medium,2016,92583,1186244096,4.11,24.42,0.21,-6.22,1.54,1.39,29.95,0.51,7.46
FUTY,Utilities,Value,Medium,2013,138383,1031806208,2.13,22.69,0.03,3.48,0.4,0.86,14.92,0.61,21
FV,"Large Growth",Blend,Medium,2014,83072,2756991232,4.42,23.7,0.17,-2.6,1.12,1.54,21.8,0.79,14.44
FVAL,"Large Value",Value,Large,2016,70220,405925120,3.21,19.62,0.19,-3.74,1.1,1.42,20.8,0.76,13.32
FVC,"Large Growth",Blend,Medium,2016,7629,229059248,4.42,23.7,0.17,-6.18,0.94,0.98,19.14,0.55,9.71
FVD,"Large Value",Value,Large,2003,964450,11805288448,2.82,21.21,0.14,-2.78,0.81,1.07,16.24,0.71,13.42
FWDB,"Multisector Bond",Value,Small,2011,1624,5580871,NULL,NULL,-0,1.05,0.43,0.33,4.43,0.64,6.43
FXD,"Consumer Cyclical",Blend,Medium,2007,100633,1851152512,3.36,17.01,0.2,-5.39,1.53,1.45,29.36,0.55,8.06
FXG,"Consumer Defensive",Value,Medium,2007,23545,268002336,2.73,16.75,0.11,-1.91,0.73,0.8,16.45,0.51,10.06
FXH,Health,Blend,Medium,2007,46422,1521731840,3.7,20.61,0.09,4.25,0.82,1.42,18.82,0.84,18.48
FXL,Technology,Growth,Medium,2007,51577,2607932928,5.23,28.21,0.11,11.38,1.24,2.5,24.95,1.15,23.73
FXN,"Equity Energy",Value,Medium,2007,515880,364424832,1.74,NULL,0.44,-33.09,2.68,0.48,57.94,0.08,-4.05
FXO,Financial,Value,Medium,2007,282646,1390161408,1.32,9.78,0.28,-2.26,1.32,1.46,27.02,0.6,10.11
FXR,Industrials,Blend,Medium,2007,93261,1798567296,3.65,23.54,0.18,-2.55,1.4,1.53,26.41,0.65,10.46
FXU,Utilities,Value,Medium,2007,38966,175121520,1.91,19.76,0.06,0.01,0.51,0.7,14.57,0.5,12.52
FXZ,"Natural Resources",Value,Medium,2007,87698,514360896,2.88,19.23,0.2,-4.67,1.38,1.33,27.2,0.54,8.54
FYC,"Small Growth",Blend,Small,2011,34769,435811232,3.92,20,0.19,-6.27,1.29,1.48,26.91,0.61,10.74
